level_0,index,doc_id,title,doc_sim,par_sim,par_length,doc_length,question_type,truths,q,para,q_id,answer,score,idxs,ids,pos,ner,target,sum_span_score,max_span_score,min_span_score,avg_span_score,sum_doc_score,max_doc_score,min_doc_score,avg_doc_score,first_occurence,num_occurence
0,22,9899084,Nadia Buari,0.4101537764072418,0.0,17,428,6,"['France', 'France', 'France', 'France']",When did Beyonce start becoming popular?,"In 2014, Buari was awarded the Special Recognition Award at Africa Magic Viewers Choice Awards.",0,2014,0.8985099792480469,"(3, 7)",22,['CD'],['DATE'],0,19.3051498234272,0.9960506558418274,0.0715292245149612,0.6227467684976516,68.19591450289646,0.6194241172978492,0.0,0.07838610862401892,22,1
1,34,52986263,Rey Reel,0.3215045034885406,0.0,2,337,6,"['France', 'France', 'France', 'France']",When did Beyonce start becoming popular?,BMI Awards,0,BMI Awards,0.8772443532943726,"(0, 10)",34,"['NNP', 'NNP']","['ORG', 'ORG']",0,22.596479654312134,0.9857819080352784,0.6471501588821411,0.9038591861724854,16.643182728647265,0.3776179025132448,0.0,0.05603765228500762,34,1
2,20,9899084,Nadia Buari,0.4101537764072418,0.0,17,428,6,"['France', 'France', 'France', 'France']",When did Beyonce start becoming popular?,"In 2019, Buari revealed in an interview that she is married and has four children.",0,2019,0.8634993433952332,"(3, 7)",20,['CD'],['DATE'],0,20.59889104962349,0.9987685084342957,0.1191954910755157,0.7103065879180513,68.19591450289646,0.6194241172978492,0.0,0.07838610862401892,20,1
3,16,9899084,Nadia Buari,0.4101537764072418,0.0,25,428,6,"['France', 'France', 'France', 'France']",When did Beyonce start becoming popular?,"In 2013, she won the Pan African Actress award at the annual Nigerian Entertainment Awards (NEA Awards) in New York City.",0,2013,0.8423866629600525,"(3, 7)",16,['CD'],['DATE'],0,25.260598208755255,0.9978466033935548,0.0460059680044651,0.5613466268612279,68.19591450289646,0.6194241172978492,0.0,0.07838610862401892,16,2
0,64,65992443,Dancegod Lloyd,0.3711628317832947,0.0,3,205,2,"['10th and 11th centuries', 'in the 10th and 11th centuries', '10th and 11th centuries', '10th and 11th centuries']",What areas did Beyonce compete in when she was growing up?,Original Dances.,1,Original Dances.,0.8261446356773376,"(0, 16)",64,"['JJ', 'NNPS', '.']","['ORG', 'ORG', '']",0,13.507206827402115,0.8261446356773376,0.266333132982254,0.5628002844750881,42.49896158593426,0.5160477377761628,0.0,0.09837722589336634,24,1
1,49,9899084,Nadia Buari,0.3826031386852264,0.0,3,428,2,"['10th and 11th centuries', 'in the 10th and 11th centuries', '10th and 11th centuries', '10th and 11th centuries']",What areas did Beyonce compete in when she was growing up?,Early life.,1,Early life.,0.6570736169815063,"(0, 11)",49,"['JJ', 'NN', '.']","['', '', '']",0,32.667863726615906,0.7613680362701416,0.2599512338638305,0.5536926055358629,68.19591450289646,0.6194241172978492,0.0,0.07838610862401892,9,2
2,56,9899084,Nadia Buari,0.3826031386852264,0.0,3,428,2,"['10th and 11th centuries', 'in the 10th and 11th centuries', '10th and 11th centuries', '10th and 11th centuries']",What areas did Beyonce compete in when she was growing up?,Personal life.,1,Personal life.,0.6446353793144226,"(0, 14)",56,"['JJ', 'NN', '.']","['', '', '']",0,32.1690376996994,0.7744203209877014,0.4108268916606903,0.5957229203648038,68.19591450289646,0.6194241172978492,0.0,0.07838610862401892,16,1
3,54,9899084,Nadia Buari,0.3826031386852264,0.0,3,428,2,"['10th and 11th centuries', 'in the 10th and 11th centuries', '10th and 11th centuries', '10th and 11th centuries']",What areas did Beyonce compete in when she was growing up?,Other work.,1,Other work.,0.6402432918548584,"(0, 11)",54,"['JJ', 'NN', '.']","['', '', '']",0,3.989438846707344,0.6402432918548584,0.23959581553936,0.332453237225612,68.19591450289646,0.6194241172978492,0.0,0.07838610862401892,14,1
0,70,2610507,Destiny (disambiguation),0.4226428866386413,0.3772246461334551,6,21,6,"['Denmark, Iceland and Norway', 'Denmark, Iceland and Norway', 'Denmark, Iceland and Norway', 'Denmark, Iceland and Norway']",When did Beyonce leave Destiny's Child and become a solo singer?,Destiny may also refer to:,2,Destiny,0.6395410299301147,"(0, 7)",70,['NN'],[''],0,18.695973806083202,0.9965967535972596,0.0323312655091285,0.5842491814401001,13.766232473069223,0.6934987777805061,0.1985567041068308,0.43019476478341323,0,1
1,77,28637966,List of songs recorded by Destiny's Child,0.4648272097110748,0.0,3,102,6,"['Denmark, Iceland and Norway', 'Denmark, Iceland and Norway', 'Denmark, Iceland and Norway', 'Denmark, Iceland and Norway']",When did Beyonce leave Destiny's Child and become a solo singer?,Unreleased songs.,2,Unreleased songs.,0.6324594020843506,"(0, 17)",77,"['JJ', 'NNS', '.']","['', '', '']",0,2.222948521375656,0.8314774632453918,0.3707247972488403,0.555737130343914,11.044076534003368,0.4362263143306868,0.0,0.09687786433336287,7,1
